Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
CMYA5	202333	149.895	155.647	391.562	443.204	77.9915	316.335	113.43	149.638	53.2175
GTSE1-DT	150384	3.1447	1.3774	0.9481	5.5819	5.3419	1.0908	2.7223	0	3.2582
CNBD1	168975	0	0	0	0	0	0	0	0	0
CNBP	7555	9954.93	8807.16	10340.8	13675.7	8829.06	10405.2	10099.8	8659.69	9228.35
CNDP1	84735	4077.57	954.545	3556.29	1006.98	1932.69	855.195	2113.43	1840.71	2434.97
CNDP2	55748	9785.12	6101.93	7246.27	6315.38	6573.72	5035.18	7862.07	6918.74	8318.22
CNFN	84518	3.1447	0	0	1.1164	17.094	6.5449	0	0.8045	0
CNGA1	1259	313.417	997.245	652.287	1175.55	748.932	525.77	801.27	773.13	603.856
CNGA2	1260	0	0	0	0	0	0	0	0	0
CNGA3	1261	1.0482	0	0	0	0	0	0	0	0
CNGA4	1262	0	0	0	4.4655	0	2.1816	0	5.6315	1.0861
CNGB1	1258	1.0482	2.7548	1.8962	2.2328	3.2051	3.2724	1.8149	0.8045	0
CNGB3	54714	0	0	0.9481	0	0	0	0	0.8045	0
CNIH	10175	2632.08	2421.49	3145.77	2558.75	1936.97	2844.83	2624.32	3113.44	2615.26
CNIH2	254263	4.1929	4.1322	3.7924	1.1164	2.1368	7.6357	2.7223	0.8045	3.2582
