Composite.Element.REF	TCGA-A6-3807-01	TCGA-A6-3808-01	TCGA-A6-3810-01	TCGA-AA-3518-01	TCGA-AA-3525-01	TCGA-AA-3526-01	TCGA-AA-3529-01	TCGA-AA-3531-01	TCGA-AA-3534-01	TCGA-AA-3552-01	TCGA-AA-3554-01	TCGA-AA-3558-01	TCGA-AA-3561-01	TCGA-AA-3664-01	TCGA-AA-3666-01	TCGA-AA-3672-01	TCGA-AA-3684-01	TCGA-AA-3695-01	TCGA-AA-3710-01	TCGA-AA-3715-01	TCGA-AA-3818-01	TCGA-AA-3848-01	TCGA-AA-3864-01	TCGA-AA-3986-01	TCGA-AA-3989-01	TCGA-AA-A004-01	TCGA-AA-A00E-01	TCGA-AA-A00F-01	TCGA-AA-A00J-01	TCGA-AA-A00O-01	TCGA-AA-A00U-01	TCGA-AA-A010-01	TCGA-AA-A017-01	TCGA-AA-A01C-01	TCGA-AA-A01D-01	TCGA-AA-A01F-01	TCGA-AA-A01I-01	TCGA-AA-A01K-01	TCGA-AA-A01P-01	TCGA-AA-A01R-01	TCGA-AA-A01S-01	TCGA-AA-A01T-01	TCGA-AA-A01V-01	TCGA-AA-A01X-01	TCGA-AA-A01Z-01	TCGA-AA-A022-01	TCGA-AA-A024-01	TCGA-AA-A029-01	TCGA-AA-A02E-01	TCGA-AA-A02H-01	TCGA-AA-A02J-01	TCGA-AA-A02O-01	TCGA-AA-A02R-01	TCGA-AA-A02Y-01	TCGA-AA-A03F-01	TCGA-AA-A03J-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AF-3913-01	TCGA-AG-3574-01	TCGA-AG-3580-01	TCGA-AG-3584-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-4007-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A014-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A026-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AA-A00A-01	TCGA-AA-A00N-01	TCGA-AA-A00K-01	TCGA-AA-A00R-01	TCGA-AG-A00H-01
ABCF1|ABCF1	0.5868	-0.2361	0.0275	0.5538	0.1857	0.3815	0.7485	1.2549	0.0533	0.6895	0.4922	0.5112	-0.8800	-0.6364	0.2485	0.0522	0.5629	0.9381	0.3674	-3.4747	0.2421	1.8812	1.7358	-0.6819	1.2713	-0.8306	1.0255	1.1499	-1.5461	0.0429	1.4908	0.0197	0.9499	0.6453	-1.2555	-1.7194	0.5863	0.0846	-1.2817	1.5270	0.3690	-0.0819	0.6817	-0.8362	-2.4731	-0.3896	-0.6475	0.6312	-0.1967	0.6170	-1.2602	0.4789	-0.7398	-0.1929	0.5229	0.4283	0.1365	0.2667	-2.3112	0.6162	0.5201	1.3685	-0.7619	0.6739	0.0293	-1.8630	0.5893	0.7193	-1.7452	0.6480	0.1656	0.7431	1.0206	-0.5752	1.0698	0.2633	-0.7795	-0.5165	-1.1244	0.9214	0.3477	0.1718	-0.4746	-0.6647	-1.7221	-0.4271	-1.9470	-0.9296	0.1638	0.7323
ABCF2|ABCF2	0.1120	NaN	-0.6135	NaN	NaN	0.7550	0.3899	0.5081	NaN	0.3743	0.1768	NaN	NaN	-0.4868	0.4905	NaN	-0.1484	0.6799	NaN	NaN	-0.1674	0.8664	1.7617	NaN	0.2673	NaN	0.7320	NaN	-2.1744	NaN	1.4052	NaN	0.5456	0.5444	NaN	-2.0102	-0.0372	0.0772	NaN	-0.0255	0.7600	-0.3312	0.6730	-0.5599	NaN	-0.7988	NaN	0.6383	-0.1846	NaN	-0.3930	1.6039	NaN	0.1944	NaN	-2.2216	NaN	-0.5576	NaN	NaN	NaN	0.7151	1.1137	NaN	-0.1510	NaN	NaN	-0.0347	NaN	0.6619	NaN	0.8970	-1.7474	-2.3873	NaN	NaN	0.9838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.3727	-0.2837	-1.0770	NaN	0.7008	0.1354
ABCF3|ABCF3	0.3177	-0.6937	-1.0365	0.8034	0.0504	0.2150	0.5638	1.7551	NaN	0.4057	0.4818	-0.3794	0.5880	0.2726	0.8058	-0.7079	-0.6694	-0.4184	0.1410	-3.0769	-1.0797	1.1121	0.8806	-0.5842	0.7111	0.5528	0.9771	-0.3522	-1.5297	0.2255	-0.1324	-1.0661	1.0487	0.3971	NaN	-2.4733	-1.3739	0.0244	-0.1303	-0.5868	0.4140	1.6406	0.5329	0.1443	-1.3904	-0.0554	-0.6108	0.9482	1.2850	0.3181	NaN	0.1557	-0.5403	0.1007	1.4642	0.3718	-2.0494	-0.1525	NaN	0.7923	0.4163	1.8243	0.5636	1.4449	0.8792	-2.2099	-0.4799	0.5582	-0.7740	0.8870	0.9342	-0.0615	0.7258	-0.6087	2.0264	-0.2299	-0.0979	-0.8645	NaN	0.5952	0.9114	0.9034	-1.2697	-1.3434	-1.5832	-0.4322	-1.3713	-1.1459	0.5844	-0.1901
ABHD10|ABHD10	0.3380	-0.4732	0.0178	0.8611	0.6198	-0.1185	0.4052	1.0422	0.0842	0.0543	-0.3629	0.0599	-0.0375	-1.0331	1.0312	0.2820	-0.0354	1.8732	-0.5126	-2.5493	-0.4485	3.3948	0.5267	-0.5529	0.2152	0.2421	-0.1712	0.5617	-0.1125	1.0683	0.3188	2.1532	0.6110	-0.1171	-0.6763	-1.8138	0.1483	-0.0047	2.0467	-0.0043	-0.6877	0.5232	0.1682	0.2825	NaN	-0.1860	-0.2217	0.1028	1.8597	0.5036	-0.9999	1.7869	0.0527	0.0711	0.6187	0.2096	0.2151	-0.3230	-2.1107	0.3236	-0.1553	0.6694	0.4176	0.8696	-0.0430	-2.6602	1.1294	-0.0208	-1.2584	-0.0342	-0.3880	0.1927	0.2203	-1.0017	1.5276	0.1419	-0.0008	-0.7618	-2.0016	-0.0791	0.0764	-0.5194	-1.4560	-0.2283	-1.5285	-0.3711	-2.3024	-1.3515	0.0553	-0.2583
ABHD11|ABHD11	0.8766	NaN	-0.9230	0.7288	-0.4963	-0.9479	1.4333	2.0674	-0.2918	0.1330	-0.1950	0.7393	-1.1503	-0.5442	0.8600	-0.0422	0.4295	-0.3210	0.4656	-2.4031	-0.3292	1.2336	0.6011	-1.9650	0.0731	0.5956	0.2157	2.0501	0.0776	0.4058	-0.3119	0.2413	1.2200	0.9409	-2.6737	1.1239	-0.6558	-0.4300	-0.6846	0.3201	-0.4871	0.5653	1.3692	0.6618	0.4106	0.8971	-0.6041	0.7766	-0.5365	0.7628	-1.2123	0.3880	-0.3550	0.7017	0.8298	0.0810	0.1509	-0.7326	-0.0606	1.3648	-1.1830	-0.5462	0.7621	0.3625	0.1748	-1.5556	0.2835	-0.4426	0.7437	0.4965	0.9365	0.6726	0.6791	-1.8826	1.2163	0.4188	0.2209	-2.2618	-3.0276	-0.0005	0.2836	0.2951	-0.7727	-0.4712	-1.2613	1.0728	-1.9240	-0.2566	-0.6743	0.2022
ABHD12|ABHD12	0.2103	NaN	0.4207	-0.6870	-1.3018	-0.2162	1.0452	0.0386	-0.4574	1.4604	-0.8681	0.7651	-0.4904	-0.5886	0.7963	-1.0538	-0.5142	1.0355	-1.0424	-3.1601	-0.7969	0.6411	0.4936	-0.5495	1.4121	1.0425	NaN	0.6670	-0.5729	0.0703	0.4201	NaN	2.1013	0.7313	NaN	-1.8351	-0.0282	2.2589	-0.0134	-0.7999	NaN	0.2101	1.1545	-0.0542	NaN	0.7606	-0.5236	0.4360	0.4486	1.4808	NaN	0.6092	0.4234	-0.3673	NaN	0.3774	-0.6123	-0.0493	-1.1712	-0.3923	1.1207	1.6659	NaN	1.0338	NaN	-0.9473	0.1360	-1.4512	-0.2120	1.7984	-0.8186	0.6211	NaN	-1.8316	-0.3215	0.2695	-0.7970	-1.2002	NaN	NaN	-1.1047	NaN	-1.2734	0.7071	-1.5664	0.6837	-0.7511	-0.3584	0.7498	0.4826
ABHD14B|ABHD14B	0.5825	-1.4239	-1.1124	1.0628	-1.3217	-0.1300	0.2940	0.3060	0.4861	-0.4756	-0.1168	0.7205	-0.9888	-1.3017	1.0844	-0.0712	1.1650	-0.3464	-0.1559	-2.6119	0.3766	1.2564	0.9027	-0.0170	0.0723	1.7603	0.1468	1.5313	-0.1730	0.6549	0.0535	1.1140	0.7511	1.1263	-3.4119	-0.9263	-2.3474	-0.0504	-0.0967	0.3932	-0.2367	0.4753	1.4492	0.1232	1.3113	-0.4034	-0.0007	0.2516	0.3441	0.0019	-1.4196	0.1144	0.8977	0.9739	1.2048	-0.3583	NaN	0.8552	-0.5653	-0.9488	0.5774	-0.1241	0.3521	1.2164	0.4966	-2.1692	-0.2856	0.1328	-0.3673	-0.1535	0.9728	1.3031	0.4937	-0.9691	2.0850	0.1032	-0.8012	-0.9100	0.1432	-0.5259	-0.1988	0.2340	-1.7343	-0.1429	-1.2867	0.7075	-1.4667	-1.3092	0.6025	0.1927
ABHD16A|ABHD16A	1.3627	-0.4400	0.3491	0.7870	NaN	-1.0365	1.6559	0.0283	-0.6440	1.0423	0.3408	0.0182	-0.9636	0.0225	1.3030	0.0721	0.1698	0.0438	0.7470	-1.4806	0.2050	1.0741	1.3611	-1.3180	1.2997	0.6682	0.5605	0.8696	-2.3820	0.6022	0.3840	0.1748	0.8659	0.8857	-0.4357	-1.6708	0.4649	1.4134	0.3300	1.9763	-1.2101	0.2161	0.6046	-1.1813	-1.4265	1.1734	-0.7627	-0.1919	0.6908	1.3431	NaN	1.0306	0.0862	0.3257	0.6899	-0.4135	-0.8185	-0.0065	-1.5648	-0.0923	0.2184	0.9737	-0.2742	0.7854	0.5526	-1.6812	-0.8627	-0.2205	-2.5315	-0.0771	0.3286	-0.0592	1.8355	-1.8035	0.6520	0.4156	-0.5887	-0.4230	-1.4015	0.6333	-0.8172	NaN	0.0707	-0.5356	-2.2216	-0.3556	-1.8724	-0.7506	0.7281	0.0832
ABHD5|ABHD5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD6|ABHD6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABI1|ABI1	0.4951	0.1284	-0.5914	1.1207	-0.0679	-0.0126	0.5413	0.8053	-0.9318	0.8122	0.5352	0.4023	0.4895	-0.0498	0.3394	-0.4061	0.3865	0.2277	0.3198	-1.4246	1.0667	0.1747	1.7881	-0.6953	0.8077	0.4518	0.4378	1.1360	-1.8752	0.7779	0.1129	0.1003	0.5880	0.4616	NaN	-2.7276	0.4263	0.3854	-0.9127	0.3572	0.1742	0.1910	1.1118	-0.6160	-0.8089	-2.4325	0.3538	0.7222	-0.1474	0.0825	-2.2106	-0.8958	-0.3975	0.7242	0.7067	-1.1123	0.9740	-0.3852	-0.4783	-0.4616	0.4303	0.5191	0.3298	0.9833	0.7699	-4.3401	0.4378	-0.4288	-2.5107	0.6692	0.1966	0.6702	0.4782	-0.6983	1.6636	1.1315	0.5011	-0.3688	-0.9163	0.9806	0.0391	0.8383	-0.3224	-0.2517	-1.4257	0.5731	-0.3469	-1.3705	0.0651	0.6279
ABI3BP|ABI3BP	NaN	0.8548	NaN	-0.4606	NaN	NaN	NaN	NaN	-0.5751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3981	NaN	0.2694	NaN	NaN	NaN	NaN	NaN	-0.6130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3227	NaN	-1.1801	NaN	1.1445	NaN	NaN	NaN	2.2413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8133	NaN	NaN
ABLIM1|ABLIM1	0.1125	NaN	NaN	-0.8379	NaN	NaN	-1.2621	-0.2091	-2.1111	NaN	NaN	-0.1275	-1.2910	-0.7215	1.2558	0.2739	-1.0542	NaN	-0.6398	NaN	-0.2926	1.1539	1.0790	NaN	0.4872	NaN	0.8610	NaN	-1.7952	NaN	0.0959	NaN	-1.3763	0.5649	NaN	-0.5476	0.5807	-0.4248	0.7450	NaN	0.1679	0.5707	-0.9539	-0.4241	NaN	NaN	0.3400	0.7566	0.4684	0.6237	NaN	0.8283	-0.0794	0.0676	1.6878	-1.9167	NaN	0.4410	-1.9648	NaN	NaN	NaN	NaN	1.8258	1.3466	NaN	NaN	0.9535	-0.5351	0.9057	-0.0480	-1.1707	1.4561	NaN	-0.3637	0.2189	NaN	NaN	-2.1825	NaN	0.2161	0.6079	NaN	0.6340	NaN	NaN	NaN	NaN	NaN	1.0031
ABR|ABR	-0.1155	-0.9911	-0.7373	-0.6722	-0.1123	0.8283	0.9488	1.0092	-0.7620	-1.4784	0.6491	0.1723	-0.0556	1.0273	0.1810	-0.5452	NaN	NaN	0.7706	NaN	0.1075	0.5151	2.1161	-0.6699	1.1397	1.3721	1.6785	1.7710	-1.5565	-0.7425	NaN	-0.4472	0.2998	1.5677	-1.2922	-0.4070	1.6576	0.5857	-0.0859	0.7662	-0.8937	0.7674	0.7588	0.2973	NaN	-0.2108	-0.2271	0.1892	-0.5894	NaN	NaN	1.6299	-0.9342	0.3103	0.2584	0.1067	-1.5276	-0.3237	NaN	1.5700	-0.9201	0.5287	NaN	NaN	-0.0216	-1.9326	0.7824	0.1036	-3.1728	1.6656	-0.9346	0.1807	0.0290	-0.3156	NaN	-0.2762	-0.1294	0.5149	NaN	NaN	-1.0947	-0.0902	NaN	-0.4372	-1.4282	-0.0076	-1.6015	-1.5591	0.5758	-0.1338
ABRACL|ABRACL	1.0264	-0.2988	-0.3575	0.7547	-1.3172	-2.5798	0.6963	-1.7045	0.3323	0.4832	0.0417	0.3340	0.7675	-0.3549	0.5062	-0.7462	0.6054	-0.0537	0.2892	-1.2269	0.1053	0.7822	1.0113	-0.2865	1.2181	0.6843	0.4779	1.9696	-1.4368	0.2718	-0.1963	0.7621	0.8118	0.6186	-1.7950	-1.2090	0.6869	1.0818	-0.6273	0.6323	-0.1552	-1.5659	2.0289	-0.6948	NaN	-0.8619	-0.1089	0.6854	-2.5226	0.1587	-0.9687	1.0183	1.0862	-0.1750	1.4366	0.0168	-0.3398	-0.9896	-1.5163	0.3674	0.0671	1.2491	0.1660	1.0476	1.6384	-0.5888	-0.4235	0.5793	-0.4021	-0.5975	0.9562	0.3129	1.4418	-1.3139	0.1766	1.7884	-1.2227	-0.1238	-1.0801	0.7517	0.2673	-0.7625	-2.5193	0.1349	-1.2861	0.7613	-0.3713	-0.8239	0.1650	0.3520
ACAA1|ACAA1	0.9316	0.4845	-0.2402	0.3305	-0.2576	0.0989	1.8399	1.1963	0.4928	1.2939	0.3487	0.3605	0.4615	-1.3337	0.5864	-0.0284	0.1975	-0.5803	-0.3710	-2.2630	-0.4935	1.4028	0.7877	-0.4254	0.4861	1.0398	0.5243	1.8800	-1.7066	0.7506	0.3279	0.3544	0.3112	0.8474	-1.5047	-1.0678	0.5148	-0.4199	0.7879	-0.1055	0.2122	0.6483	0.7572	-0.7928	-1.8208	-1.0259	-0.7868	1.3364	0.5127	-0.5669	0.1719	2.4513	-0.2971	0.0695	1.0106	-0.6473	0.1763	-0.2991	-1.7568	-0.0397	0.3655	1.4281	-0.2866	1.2750	0.5795	-1.2916	0.2331	0.0108	-2.2532	1.0956	0.3554	0.0256	0.7699	-1.0739	1.7982	0.1462	-0.7922	-0.4711	-2.7451	-0.5845	0.3188	-0.4429	-0.2120	-1.4627	-1.8006	-0.6794	-0.9067	-1.3331	-0.1542	0.9344
ACAA2|ACAA2	0.6137	-0.1619	0.0768	-0.2626	-0.4923	0.1177	1.3109	0.9146	0.7287	0.2261	-0.1256	0.8897	-0.6249	0.8680	0.4459	-2.0301	0.8941	0.3244	0.3811	-2.8335	-0.1907	1.1575	-1.3370	0.3788	0.5341	1.3072	0.3482	1.1896	-3.4078	2.0184	0.0633	0.5257	0.8812	0.9848	-2.0722	-0.8954	0.9623	0.0328	-0.6159	-0.9540	0.1747	0.5566	1.6522	0.6892	0.7721	0.2693	-0.0928	0.7896	-1.3567	0.8498	-1.1705	0.7482	0.0164	0.6178	0.3376	-0.3534	-0.4874	0.4166	-1.4979	0.8046	-0.9656	1.2283	0.5217	1.0666	0.1293	-0.6432	0.1524	-0.4492	-1.7121	0.8157	-0.2336	0.3814	0.8832	-0.5817	1.5667	0.1200	-0.1832	-1.1064	-1.0060	-1.1386	0.3367	0.1141	-1.8925	-0.1648	-1.3792	0.9191	-1.1864	-0.9820	-0.5835	0.0650
ACACA|ACACA	0.9712	0.8366	NaN	-0.5079	NaN	0.4761	0.7361	0.3401	NaN	0.4232	0.3887	-0.3557	0.9788	0.2296	0.5757	NaN	-0.4012	0.9429	-0.5306	NaN	-0.7268	0.8713	1.3205	NaN	NaN	NaN	-0.1229	-0.1526	NaN	-0.5997	0.8774	NaN	-0.5593	-0.0484	NaN	0.5918	0.3053	NaN	NaN	0.6345	0.9088	0.8355	NaN	-1.7209	-3.8894	NaN	-0.5016	0.6588	-0.4812	NaN	-0.1773	1.2597	NaN	0.8617	0.8556	0.5927	-1.1607	0.0987	NaN	0.1668	-0.2111	0.6348	-0.6850	0.5132	-0.4883	-1.3713	NaN	0.4909	1.0422	0.5546	1.4550	0.1629	-0.7377	-1.5994	NaN	-0.1580	0.0014	-1.3333	NaN	0.2762	-0.1986	-0.9418	0.2291	-0.3512	NaN	-0.1383	NaN	-3.9131	0.9338	0.0313
ACAD10|ACAD10	0.6712	-3.0213	-0.1635	-0.0240	NaN	NaN	0.3924	NaN	0.0305	0.0154	0.0196	1.4220	-0.5158	-0.4303	0.2668	NaN	0.3501	NaN	NaN	NaN	NaN	0.9196	NaN	NaN	1.1458	0.3811	NaN	NaN	-0.1811	NaN	1.0851	0.7900	0.1146	0.0702	0.1699	NaN	-0.6543	1.3697	NaN	0.4637	0.5989	0.4172	1.7505	1.2440	NaN	NaN	NaN	NaN	NaN	0.4564	0.4839	0.4494	0.3947	-1.8168	NaN	-2.0630	-1.0769	-0.8903	NaN	NaN	0.8548	NaN	NaN	NaN	NaN	-1.4313	NaN	NaN	NaN	NaN	0.0537	-0.4727	NaN	-2.1295	NaN	0.6629	0.4199	0.8745	NaN	-0.0707	0.9886	-0.5692	NaN	-0.3653	-2.6433	-1.0233	-0.6405	0.7738	-0.0151	0.0970
ACAD8|ACAD8	-0.0461	NaN	-0.4824	0.0362	NaN	-0.5699	0.4609	NaN	-0.0245	0.5813	-0.8176	NaN	NaN	-0.9527	1.6283	-0.5856	1.0338	-0.2813	-0.8884	NaN	NaN	1.0918	NaN	-1.8985	0.3652	0.4366	NaN	0.5045	-0.8648	0.8992	NaN	-0.1881	0.6993	NaN	0.2209	NaN	0.2443	-0.2764	-0.8518	NaN	0.3394	0.5723	0.7036	0.8769	0.0456	-0.7341	-0.3301	-0.4554	3.5982	0.4346	NaN	-1.0296	0.8722	-0.1318	1.2866	NaN	NaN	NaN	NaN	0.1913	1.4900	-0.3946	0.3247	0.2682	-0.1498	-1.6398	NaN	-0.6667	-1.4454	0.1518	2.4332	NaN	0.0169	-2.9536	-0.2820	0.5369	0.3849	NaN	NaN	NaN	0.2271	-0.8071	NaN	-0.2718	-1.5300	-1.2625	-0.9223	-0.5573	0.8056	0.5298
ACAD9|ACAD9	1.0072	-0.2583	0.7429	-0.7434	-0.6528	-0.6572	0.2941	0.9618	-0.8725	0.7629	-0.4225	1.0982	0.3321	-0.2577	1.8703	0.1818	-0.2597	0.4169	0.0009	-2.9807	-0.1488	1.3737	1.1536	-0.4993	0.7184	1.0017	0.3635	1.0974	-1.4031	1.5526	0.0533	-0.0836	1.3184	1.0209	-0.9836	-0.3855	0.2975	0.5247	-0.4100	0.0451	0.2695	-0.1273	0.3201	0.7552	-2.6145	-0.3374	-0.5194	0.7826	-0.8010	1.1328	-0.7748	0.2077	-0.3791	0.3137	0.9377	-0.4203	0.7472	0.1369	-1.3007	1.0918	1.3298	1.2125	0.8725	1.4067	-0.4697	-2.3750	0.6200	0.0848	-1.9353	0.9457	-0.0583	-0.5918	-0.7285	-1.4687	1.4525	-0.0947	-0.3494	-0.1098	-1.5362	-0.1346	0.6248	-0.6703	-1.6501	0.1673	-1.2303	0.1601	-2.2732	-1.4354	0.9755	0.6671
ACADM|ACADM	0.8325	0.0038	-0.4433	1.1863	-1.1735	-0.1129	0.7273	0.5474	-0.6669	0.7278	-0.3029	0.4288	-0.2310	-0.2875	0.5503	0.9828	0.9595	-0.6686	0.0771	NaN	-1.0117	0.4480	0.6008	0.1196	1.0454	1.2490	0.0820	1.4615	-0.0105	2.3645	0.0504	0.5254	1.5939	1.2748	-0.5235	-3.1614	1.3473	-2.0155	-0.1391	-0.4005	0.3725	0.4082	0.3141	0.6331	-3.4832	-0.5323	-0.4548	-0.0512	-1.3658	1.4696	-2.7681	0.1137	0.6905	0.4443	0.6819	-1.1773	0.3030	0.4065	-0.6906	-0.5560	0.2015	0.7389	-0.5647	1.2150	0.2764	-1.9582	-0.0565	0.1997	-0.4203	0.6324	0.3277	0.5530	1.2028	-2.1219	0.9134	0.2727	-0.2645	-0.3776	-0.1520	-0.0310	-0.6233	0.1269	-0.1652	-0.8855	-0.9946	-0.0628	-0.8628	-0.6139	0.4052	0.2937
ACADS|ACADS	-0.0056	-0.6568	NaN	0.3296	-1.4946	0.4302	0.5721	0.9998	0.8853	0.6514	-0.1251	0.4590	-0.7570	-1.2817	0.1919	0.6386	1.2993	-1.7292	0.1102	NaN	-0.8137	1.0691	-1.6328	0.0075	0.4372	1.6979	-0.1434	1.3941	0.2992	1.6925	0.2323	1.6550	0.8780	0.7805	-1.3199	NaN	0.9537	-0.0462	-0.4057	NaN	-0.6428	1.0402	0.8361	-0.7211	0.8515	0.2592	0.6055	0.8818	-0.1213	1.1401	-2.3425	0.0361	0.7493	1.4911	1.0278	-0.6574	-0.1778	0.5111	NaN	-0.2333	0.6399	0.1913	0.1523	0.0736	0.1899	-2.1864	-0.3469	1.0137	-2.4549	-0.3497	0.0628	NaN	0.4162	-1.8267	0.4393	-0.1052	NaN	-0.3879	NaN	-2.6836	0.0391	-1.2906	NaN	-1.4060	-1.0922	0.6414	NaN	-1.1130	-0.4956	0.0926
ACADSB|ACADSB	0.8696	-1.4223	-0.1147	0.5956	-0.9953	0.2909	0.3942	1.4618	-0.1172	0.7636	0.0426	0.2686	0.2149	-1.3196	-0.4093	-0.1102	0.3860	-0.4159	-0.3258	NaN	0.7616	0.6376	-1.3617	-1.2562	0.7079	1.1032	0.0626	0.8793	0.4369	2.2179	0.8708	-0.0754	1.1958	0.3975	NaN	0.8474	0.7289	0.1547	-1.9389	0.8774	0.2810	0.4837	1.3792	0.7197	-1.4045	-0.4170	0.2191	0.2038	-1.7582	0.8937	-1.9026	1.1116	0.2154	1.4088	0.4782	0.8018	-0.5400	-0.9947	-0.5396	NaN	1.2965	0.7773	0.3363	0.9456	0.1417	-2.3162	0.3702	0.0725	-1.8513	0.1172	0.1496	0.7846	0.2536	-0.9839	1.6508	-1.0285	0.6003	0.0861	-1.3632	-0.9608	1.2095	-0.3034	-2.8040	-0.4857	-1.2765	-0.0381	-2.1075	-1.1806	-0.2033	0.1669
ACADVL|ACADVL	0.9984	-0.5661	0.2549	0.3942	0.4735	0.1488	1.4999	1.1530	0.0623	-0.2206	0.2195	0.5123	-1.4377	-0.8843	0.7042	0.4217	1.1360	-0.4282	0.2057	-3.0789	0.1770	0.7698	0.6487	-0.1185	0.6707	1.3714	0.6159	1.2347	-0.7747	1.9005	-0.4231	0.5009	1.5550	0.6099	-1.1874	-0.7976	0.3594	0.1272	0.0405	0.1402	-0.9726	0.9198	1.0831	0.6469	-0.7008	-0.2624	-0.1291	0.8573	-1.4506	0.9861	-1.8510	0.8121	-0.5191	0.7022	1.0317	-0.8041	-1.2089	-0.4523	-1.2185	-0.6678	0.7801	1.6347	-0.1077	1.0568	0.2299	-2.5176	1.2269	0.0591	-1.8187	0.1779	0.3417	0.4064	0.7083	-1.7597	2.3115	-0.1340	-0.6492	-0.3311	-0.5439	-0.3239	-0.0008	-0.8494	-0.8948	-1.0042	-1.8803	-0.0251	-1.8935	-0.5218	0.2307	0.3002
ACAN|ACAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAP2|ACAP2	1.0140	NaN	-0.1208	0.2557	0.3670	0.3039	0.2676	1.9216	NaN	0.7034	NaN	NaN	0.3278	-0.3126	NaN	-0.5925	NaN	-0.2480	0.0038	NaN	-0.6368	NaN	NaN	-1.0557	0.8962	0.0114	0.4191	1.9073	-0.6483	0.9170	1.4770	NaN	0.4282	0.1140	-0.7307	NaN	NaN	0.0543	0.2921	NaN	-0.7431	2.4162	0.5973	-1.0496	NaN	-1.9156	-1.9801	0.4144	-0.1253	0.0359	NaN	-0.9250	0.4311	-0.4961	-0.7295	NaN	NaN	-1.5270	-1.3271	-0.0923	-0.3284	NaN	0.1978	0.8091	0.3225	-2.1479	1.3273	NaN	NaN	-0.1109	NaN	0.5054	NaN	-1.5366	0.8228	NaN	2.8117	NaN	NaN	NaN	-0.8494	-0.3985	NaN	NaN	-1.6039	-0.2650	-0.2807	-0.3446	-0.0427	0.7918
